Model|Stamp|Lower|Upper|Solver_Time|Overall_Time|Solver_Info|Method
model1_LPV4D|2020.04.14. Tuesday 00:12:54 id:2356|0|2.05126989067949|4.537023|13.832787|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x1.78|2020.04.14. Tuesday 00:14:20 id:2357|0|2.05126989067949|4.266247|11.599493|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x1.78|2020.04.14. Tuesday 00:18:05 id:2357|0|2.20063554509286|209.852716|223.006497|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D_x1.78|2020.04.14. Tuesday 00:18:43 id:2357|0|2.54833429486015|0|37.811201|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x1.78|2020.04.14. Tuesday 00:21:07 id:2357|2.02851105805651|2.59231592853063|0|142.018482|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x1.78|2020.04.14. Tuesday 00:40:08 id:2357|0|2.05120659809694|1082.816618|1140.905834|Successfully solved (MOSEK)|Polytopic a. with Finsler
model1_LPV4D_x3.16|2020.04.14. Tuesday 00:40:20 id:2357|0|2.14179282356365|4.223732|11.728686|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x3.16|2020.04.14. Tuesday 00:45:14 id:2357|0|2.36050330073879|278.298015|291.692839|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D_x3.16|2020.04.14. Tuesday 00:45:51 id:2357|0|2.82087126323161|0|37.250375|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x3.16|2020.04.14. Tuesday 00:47:45 id:2357|2.02851105805651|2.81855086686819|0|112.702329|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x3.16|2020.04.14. Tuesday 01:05:54 id:2357|0|2.11755668912915|1031.776193|1088.77138|Successfully solved (MOSEK)|Polytopic a. with Finsler
model1_LPV4D_x5.6|2020.04.14. Tuesday 01:06:05 id:2357|0|2.29222240933528|4.063697|11.222185|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x5.6|2020.04.14. Tuesday 01:10:45 id:2357|0|2.55228514512871|265.001022|278.184636|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D_x5.6|2020.04.14. Tuesday 01:11:28 id:2357|0|2.81794253677084|0|42.882109|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x5.6|2020.04.14. Tuesday 01:13:01 id:2357|2.02851105805651|2.81812896808011|0|92.775212|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x5.6|2020.04.14. Tuesday 01:33:56 id:2357|0|2.23104291531253|1197.776851|1254.26853|Successfully solved (MOSEK)|Polytopic a. with Finsler
model1_LPV4D_x17.8|2020.04.14. Tuesday 01:34:07 id:2357|0|2.62319766543296|3.84043|11.023824|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x17.8|2020.04.14. Tuesday 01:38:14 id:2357|0|2.75261587698898|231.469467|244.821671|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D_x17.8|2020.04.14. Tuesday 01:38:53 id:2357|0|2.820254204693|0|39.678529|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x17.8|2020.04.14. Tuesday 01:40:32 id:2357|2.02851105805651|2.81819053246449|0|97.627313|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D_x17.8|2020.04.14. Tuesday 02:01:25 id:2357|0|2.50689326637037|1195.37358|1253.588989|Successfully solved (MOSEK)|Polytopic a. with Finsler
model1_LPV4D_x31.6|2020.04.14. Tuesday 02:01:36 id:2357|0|2.66469130642587|3.70296|10.90795|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x31.6|2020.04.14. Tuesday 02:05:24 id:2357|0|2.7723471343514|212.675724|226.096337|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D_x31.6|2020.04.14. Tuesday 02:18:54 id:2358|0|2.66469130642587|3.592663|11.232848|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x31.6|2020.04.14. Tuesday 02:22:40 id:2358|0|2.7723471343514|209.979211|223.761226|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D_x31.6|2020.04.14. Tuesday 02:29:44 id:2359|0|2.66469130642587|3.623285|11.301331|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D_x31.6|2020.04.14. Tuesday 02:33:29 id:2359|0|2.7723471343514|210.378259|223.882091|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D_x31.6|2020.04.14. Tuesday 02:34:12 id:2359|0|2.81888218089099|0|41.913861|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D_x31.6|2020.04.14. Tuesday 02:35:52 id:2359|2.02851105805651|2.81913762542185|0|99.413015|tvreal, lpvwcgain|LPVTools - LFT/IQC
